CRB_Neighborhood,SITE_NAME,OWNERSHIP,TYPECODE,ACRES,TypeLong
Hyde Park,Moynihan Playground,Commonwealth of Massachusetts,3,7.18571325,Park_Play_Fields
Hyde Park,Camp Meigs,Commonwealth of Massachusetts,3,2.86583949,Park_Play_Fields
Hyde Park,Jeremiah Hurley Memorial Park,City of Boston,1,0.07,Malls_Sqs_Plaza
Hyde Park,Williams Square,City of Boston,1,0.03805675,Malls_Sqs_Plaza
Hyde Park,Dana Avenue Urban Wild I,Commonwealth of Massachusetts,6,0.81968055,Natural_Areas
Hyde Park,Martini Playground,Commonwealth of Massachusetts,2,5.77995247,Parks_Reserv_Beaches
Hyde Park,Mother Brook I,Private,6,0.37013097,Natural_Areas
Hyde Park,Reservation Road Park,City of Boston,3,6.19562996,Park_Play_Fields
Hyde Park,Neponset Valley Parkway,Commonwealth of Massachusetts,2,5.4959161,Parks_Reserv_Beaches
Hyde Park,Stony Brook Reservation I,Commonwealth of Massachusetts,2,292.26,Parks_Reserv_Beaches
Hyde Park,Neponset River Corridor,Private,6,1.1875683,Natural_Areas
Hyde Park,Truman Parkway,Commonwealth of Massachusetts,2,2.71476245,Parks_Reserv_Beaches
Hyde Park,West Austin Rock,City of Boston,6,0.3,Natural_Areas
Hyde Park,McGann Park,City of Boston,3,0.88,Park_Play_Fields
Hyde Park,Foley Square,City of Boston,1,0.14,Malls_Sqs_Plaza
Hyde Park,Jones Square,City of Boston,1,0.04,Malls_Sqs_Plaza
Hyde Park,Shempa Square,MBTA,1,0.03,Malls_Sqs_Plaza
Hyde Park,Webster Square,City of Boston,1,0.05,Malls_Sqs_Plaza
Hyde Park,Woodworth Square,City of Boston,1,0.03,Malls_Sqs_Plaza
Hyde Park,Dana Avenue Urban Wild II,City of Boston,6,0.03243961,Natural_Areas
Hyde Park,Dell Rock II,City of Boston,6,0.04,Natural_Areas
Hyde Park,Blake Estates Urban Wild,City of Boston,6,0.34,Natural_Areas
Hyde Park,Railroad Avenue,Commonwealth of Massachusetts,6,1.1,Natural_Areas
Hyde Park,Stony Brook Reservation III,Commonwealth of Massachusetts,2,65.66,Parks_Reserv_Beaches
Hyde Park,George Wright Golf Course,City of Boston,3,156.37,Park_Play_Fields
Hyde Park,Cleary Square Plaza,"
City of Boston",1,0.07,Malls_Sqs_Plaza
Hyde Park,Neponset River Reservation I,Commonwealth of Massachusetts,2,183.32,Parks_Reserv_Beaches
Hyde Park,Ross Playground,City of Boston,3,13.04038894,Park_Play_Fields
Jamaica Plain,Mozart Street Playground,City of Boston,3,0.8062696,Park_Play_Fields
Jamaica Plain,Paul Gore/Beecher Street Garden,BNAN,5,0.50768117,Community_Gardens
Jamaica Plain,Beecher Street Play Area,City of Boston,3,0.1742426,Park_Play_Fields
Jamaica Plain,Murphy Playground,City of Boston,3,2.59767464,Park_Play_Fields
Jamaica Plain,Lawrence Farm,Private,6,41.7049113,Natural_Areas
Jamaica Plain,Soldier's Monument,City of Boston,1,0.13268804,Malls_Sqs_Plaza
Jamaica Plain,Forbes Street Garden,BNAN,5,0.37078302,Community_Gardens
Jamaica Plain,English H.S. Athletic Fields,City of Boston,3,7.63320583,Park_Play_Fields
Jamaica Plain,Johnson Park II,City of Boston,3,0.17063559,Park_Play_Fields
Jamaica Plain,Johnson Park I,Commonwealth of Massachusetts,3,2.60085765,Park_Play_Fields
Jamaica Plain,Mahoney Square,City of Boston,1,0.06021515,Malls_Sqs_Plaza
Jamaica Plain,Hellenic College Athletic Field,Private,3,3.40660796,Park_Play_Fields
Jamaica Plain,Hellenic Hill I,Private,6,17.69531095,Natural_Areas
Jamaica Plain,Back of the Hill Urban Wild,City of Boston,6,3.71620564,Natural_Areas
Jamaica Plain,Hall/Boynton Street Garden,MBTA,5,0.13731616,Community_Gardens
Jamaica Plain,Anson Street Garden,MBTA,5,0.16933221,Community_Gardens
Jamaica Plain,King Street Play Area,City of Boston,3,0.13,Park_Play_Fields
Jamaica Plain,Jeep Jones Park,City of Boston,3,1.82,Park_Play_Fields
Jamaica Plain,Linwood Park,City of Boston,1,0.07383864,Malls_Sqs_Plaza
Jamaica Plain,Kittredge Park,City of Boston,1,0.11595123,Malls_Sqs_Plaza
Jamaica Plain,Rockledge Street Urban Wild,City of Boston,6,0.53148566,Natural_Areas
Jamaica Plain,Father Jack Play Area,City of Boston,3,0.3170537,Park_Play_Fields
Jamaica Plain,Flaherty Playground,City of Boston,3,1.31078198,Park_Play_Fields
Jamaica Plain,Marcella Playground,City of Boston,3,5.08980387,Park_Play_Fields
Jamaica Plain,Highland Park,City of Boston,3,3.63253278,Park_Play_Fields
Jamaica Plain,Cedar Square,City of Boston,3,0.62313931,Park_Play_Fields
Jamaica Plain,Cedar Street Garden II,BRA,5,0.07601427,Community_Gardens
Jamaica Plain,Cedar Street Garden I,City of Boston,5,0.41746058,Community_Gardens
Jamaica Plain,Margaret Wright Memorial Garden,Community Group/Nonprofit,5,0.13337245,Community_Gardens
Jamaica Plain,St. Monica's,Private,6,0.61903157,Natural_Areas
Jamaica Plain,Granada Park Garden,BNAN,5,0.29974302,Community_Gardens
Jamaica Plain,Egleston Community Garden,Private,5,0.24067093,Community_Gardens
Jamaica Plain,Waldren Road Garden,City of Boston,5,0.09203198,Community_Gardens
Jamaica Plain,Parkman Memorial,City of Boston,3,6.70969084,Park_Play_Fields
Jamaica Plain,Highland Park 400 Garden,Community Group/Nonprofit,5,0.64040972,Community_Gardens
Jamaica Plain,Bowditch Garden,Private,5,0.13576334,Community_Gardens
Jamaica Plain,Minton Stable Garden,BNAN,5,1.2,Community_Gardens
Jamaica Plain,McBride Garden,MBTA,5,0.06163187,Community_Gardens
Jamaica Plain,White Stadium,City of Boston,3,12.57331008,Park_Play_Fields
Jamaica Plain,South Street Mall & Courts,City of Boston,3,0.08138799,Park_Play_Fields
Jamaica Plain,First Church Cemetery,Private,4,0.62830435,Burial_Grounds
Jamaica Plain,Roxbury Heritage State Park II,City of Boston,3,0.35,Park_Play_Fields
Jamaica Plain,Kittredge-Linwood Parcel,BNAN,7,0.1638802,Park_Play_Fields
Jamaica Plain,St Rose Street Garden,BNAN,5,0.0780558,Community_Gardens
Jamaica Plain,Centre Place Garden,City of Boston,5,0.13660536,Community_Gardens
Jamaica Plain,Highland Avenue Community Garden,BNAN,5,0.10061459,Community_Gardens
Jamaica Plain,Allan Crite Garden I,City of Boston,5,0.4036074,Community_Gardens
Jamaica Plain,Lamartine/Hubbard Streets Garden,MBTA,5,0.06265665,Community_Gardens
Jamaica Plain,Lawndale Terrace Garden,MBTA,5,0.09,Community_Gardens
Jamaica Plain,Williams Street I,Private,6,2.1,Natural_Areas
Jamaica Plain,Oakview Terrace,City of Boston,1,0.10007451,Malls_Sqs_Plaza
Jamaica Plain,Jamaicaway,City of Boston,2,4.7210912,Parks_Reserv_Beaches
Jamaica Plain,Perkins Street,Commonwealth of Massachusetts,2,0.22700171,Parks_Reserv_Beaches
Jamaica Plain,Chestnut Street,Commonwealth of Massachusetts,2,1.03901792,Parks_Reserv_Beaches
Jamaica Plain,Hellenic Hill II,Private,6,6.37162311,Natural_Areas
Jamaica Plain,Williams Street III,City of Boston,6,0.31,Natural_Areas
Jamaica Plain,American Legion Highway,City of Boston,2,6.77872585,Parks_Reserv_Beaches
Jamaica Plain,Parley Vale Preserve,Private,6,0.70082482,Natural_Areas
Jamaica Plain,Arborway Overpass Path,Commonwealth of Massachusetts,2,1.16375787,Parks_Reserv_Beaches
Jamaica Plain,Franklin Park Zoo,City of Boston,3,63.82,Park_Play_Fields
Jamaica Plain,Bromley Heath Play Area,City of Boston,3,0.82120332,Park_Play_Fields
Jamaica Plain,Oakdale Street Community Garden,MBTA,5,0.15597314,Community_Gardens
Jamaica Plain,Starr Lane Park,City of Boston,5,0.06203976,Community_Gardens
Jamaica Plain,Agassiz Community & School Garden,City of Boston,5,0.1863999,Community_Gardens
Jamaica Plain,Franklin Park II,City of Boston,3,16.44,Park_Play_Fields
Jamaica Plain,Allan Crite Garden II,BRA,5,0.04,Community_Gardens
Jamaica Plain,John Eliot Square Urban Wild,BNAN,6,0.08,Natural_Areas
Jamaica Plain,Egleston Plaza I,City of Boston,1,0.12,Malls_Sqs_Plaza
Jamaica Plain,Egleston Plaza II,City of Boston,1,0.01,Malls_Sqs_Plaza
Jamaica Plain,Egleston Square Peace Garden,Private,5,0.12,Community_Gardens
Jamaica Plain,Arborway II,Commonwealth of Massachusetts,2,1.15,Parks_Reserv_Beaches
Jamaica Plain,Back Bay Fens,City of Boston,3,70.1,Park_Play_Fields
Jamaica Plain,Riverway I,City of Boston,3,17.18,Park_Play_Fields
Jamaica Plain,Riverway III,City of Boston,3,5.3,Park_Play_Fields
Jamaica Plain,Riverway IV,Commonwealth of Massachusetts,2,1.91,Parks_Reserv_Beaches
Jamaica Plain,Jamaica Pond Park,City of Boston,3,97.74,Park_Play_Fields
Jamaica Plain,Agassiz Road,Commonwealth of Massachusetts,2,0.6,Parks_Reserv_Beaches
Jamaica Plain,Boylston Street I,City of Boston,2,0.62,Parks_Reserv_Beaches
Jamaica Plain,Boylston Street II,Commonwealth of Massachusetts,2,2.4,Parks_Reserv_Beaches
Jamaica Plain,The Fenway II,Commonwealth of Massachusetts,2,0.77,Parks_Reserv_Beaches
Jamaica Plain,Park Drive I,City of Boston,2,5.1,Parks_Reserv_Beaches
